reviews,review_text
0,✅ Trip Verified | Very pleasant flight on this A320 with large overhead bins with plenty of storage space. There was ample leg room in Economy Plus. Departure was on time. The flight overall was smooth except for bumpy patches… Read more
1,✅ Trip Verified | This airline is awful. It is always an uncomfortable flight with Westjet. I had credits from older booking & had to use them up because Westjet had screwed up in the past. I vowed never to… Read more
2,Not Verified | Was happy to find a nonstop flight LAX-JAX flying T/Th/Sun. Booked 6 round trip economy seats for my family Th-Sun (all adults). 6 weeks prior to our departure Breeze changed our outgoing flight to a 2 day… Read more
3,✅ Trip Verified | Very pleasant flight on this A320 with large overhead bins with plenty of storage space. There was ample leg room in Economy Plus. Departure was on time. The flight overall was smooth except for bumpy patches… Read more
4,✅ Trip Verified | This airline is awful. It is always an uncomfortable flight with Westjet. I had credits from older booking & had to use them up because Westjet had screwed up in the past. I vowed never to… Read more
5,Not Verified | Was happy to find a nonstop flight LAX-JAX flying T/Th/Sun. Booked 6 round trip economy seats for my family Th-Sun (all adults). 6 weeks prior to our departure Breeze changed our outgoing flight to a 2 day… Read more
6,✅ Trip Verified | Very pleasant flight on this A320 with large overhead bins with plenty of storage space. There was ample leg room in Economy Plus. Departure was on time. The flight overall was smooth except for bumpy patches… Read more
7,✅ Trip Verified | This airline is awful. It is always an uncomfortable flight with Westjet. I had credits from older booking & had to use them up because Westjet had screwed up in the past. I vowed never to… Read more
8,Not Verified | Was happy to find a nonstop flight LAX-JAX flying T/Th/Sun. Booked 6 round trip economy seats for my family Th-Sun (all adults). 6 weeks prior to our departure Breeze changed our outgoing flight to a 2 day… Read more
9,✅ Trip Verified | Very pleasant flight on this A320 with large overhead bins with plenty of storage space. There was ample leg room in Economy Plus. Departure was on time. The flight overall was smooth except for bumpy patches… Read more
10,✅ Trip Verified | This airline is awful. It is always an uncomfortable flight with Westjet. I had credits from older booking & had to use them up because Westjet had screwed up in the past. I vowed never to… Read more
11,Not Verified | Was happy to find a nonstop flight LAX-JAX flying T/Th/Sun. Booked 6 round trip economy seats for my family Th-Sun (all adults). 6 weeks prior to our departure Breeze changed our outgoing flight to a 2 day… Read more
12,✅ Trip Verified | Very pleasant flight on this A320 with large overhead bins with plenty of storage space. There was ample leg room in Economy Plus. Departure was on time. The flight overall was smooth except for bumpy patches… Read more
13,✅ Trip Verified | This airline is awful. It is always an uncomfortable flight with Westjet. I had credits from older booking & had to use them up because Westjet had screwed up in the past. I vowed never to… Read more
14,Not Verified | Was happy to find a nonstop flight LAX-JAX flying T/Th/Sun. Booked 6 round trip economy seats for my family Th-Sun (all adults). 6 weeks prior to our departure Breeze changed our outgoing flight to a 2 day… Read more
15,✅ Trip Verified | Very pleasant flight on this A320 with large overhead bins with plenty of storage space. There was ample leg room in Economy Plus. Departure was on time. The flight overall was smooth except for bumpy patches… Read more
16,✅ Trip Verified | This airline is awful. It is always an uncomfortable flight with Westjet. I had credits from older booking & had to use them up because Westjet had screwed up in the past. I vowed never to… Read more
17,Not Verified | Was happy to find a nonstop flight LAX-JAX flying T/Th/Sun. Booked 6 round trip economy seats for my family Th-Sun (all adults). 6 weeks prior to our departure Breeze changed our outgoing flight to a 2 day… Read more
18,✅ Trip Verified | Very pleasant flight on this A320 with large overhead bins with plenty of storage space. There was ample leg room in Economy Plus. Departure was on time. The flight overall was smooth except for bumpy patches… Read more
19,✅ Trip Verified | This airline is awful. It is always an uncomfortable flight with Westjet. I had credits from older booking & had to use them up because Westjet had screwed up in the past. I vowed never to… Read more
20,Not Verified | Was happy to find a nonstop flight LAX-JAX flying T/Th/Sun. Booked 6 round trip economy seats for my family Th-Sun (all adults). 6 weeks prior to our departure Breeze changed our outgoing flight to a 2 day… Read more
21,✅ Trip Verified | Very pleasant flight on this A320 with large overhead bins with plenty of storage space. There was ample leg room in Economy Plus. Departure was on time. The flight overall was smooth except for bumpy patches… Read more
22,✅ Trip Verified | This airline is awful. It is always an uncomfortable flight with Westjet. I had credits from older booking & had to use them up because Westjet had screwed up in the past. I vowed never to… Read more
23,Not Verified | Was happy to find a nonstop flight LAX-JAX flying T/Th/Sun. Booked 6 round trip economy seats for my family Th-Sun (all adults). 6 weeks prior to our departure Breeze changed our outgoing flight to a 2 day… Read more
24,✅ Trip Verified | Very pleasant flight on this A320 with large overhead bins with plenty of storage space. There was ample leg room in Economy Plus. Departure was on time. The flight overall was smooth except for bumpy patches… Read more
25,✅ Trip Verified | This airline is awful. It is always an uncomfortable flight with Westjet. I had credits from older booking & had to use them up because Westjet had screwed up in the past. I vowed never to… Read more
26,Not Verified | Was happy to find a nonstop flight LAX-JAX flying T/Th/Sun. Booked 6 round trip economy seats for my family Th-Sun (all adults). 6 weeks prior to our departure Breeze changed our outgoing flight to a 2 day… Read more
